timems,x,y,theta,vx,vy
1464190844293,0.22801700234413147,-0.22621892392635345,5.509345531463623,0.08354814350605011,-0.010011927224695683
1464190844294,0.22848562896251678,-0.2266768366098404,5.508475303649902,0.0836583748459816,-0.010192262940108776
1464190844294,0.2298489660024643,-0.2280113399028778,5.508337020874023,0.08405806869268417,-0.010213501751422882
1464190844294,0.2310987412929535,-0.22923502326011658,5.508111476898193,0.08444470912218094,-0.010169998742640018
1464190844335,0.23259541392326355,-0.23070111870765686,5.507498264312744,0.08492710441350937,-0.010284247808158398
1464190844335,0.23393790423870087,-0.23201778531074524,5.506842613220215,0.0853034034371376,-0.010216613300144672
1464190844335,0.23520278930664062,-0.23325997591018677,5.506953239440918,0.08583025634288788,-0.010597314685583115
1464190844335,0.23674073815345764,-0.23476998507976532,5.5073561668396,0.08640724420547485,-0.010431633330881596
1464190844367,0.2379682958126068,-0.2359742671251297,5.507251739501953,0.08681295812129974,-0.010890408419072628
1464190844367,0.23902682960033417,-0.23701295256614685,5.5066375732421875,0.08716694265604019,-0.011025732383131981
1464190844384,0.2399328351020813,-0.23790305852890015,5.507297992706299,0.08752340078353882,-0.01115379761904478
1464190844385,0.24072152376174927,-0.23867687582969666,5.508979797363281,0.08786211907863617,-0.011249829083681107
1464190844385,0.24179106950759888,-0.23972274363040924,5.509573936462402,0.08809557557106018,-0.011012579314410686
1464190844385,0.24281826615333557,-0.24072600901126862,5.510697841644287,0.08838710933923721,-0.010736438445746899
1464190844385,0.24416998028755188,-0.24204327166080475,5.511734962463379,0.0887317806482315,-0.010627033188939095
1464190844385,0.24538269639015198,-0.24322260916233063,5.511417388916016,0.08904480934143066,-0.01074729673564434
1464190844430,0.24680815637111664,-0.24460972845554352,5.511425018310547,0.08943906426429749,-0.010706291534006596
1464190844431,0.24827559292316437,-0.24603767693042755,5.51094913482666,0.08994249254465103,-0.010784185491502285
1464190844483,0.24953942000865936,-0.2472686618566513,5.510898113250732,0.09032268077135086,-0.010925102978944778
1464190844483,0.2506261467933655,-0.24832724034786224,5.512006759643555,0.09059737622737885,-0.011365428566932678
1464190844483,0.25146743655204773,-0.24914494156837463,5.512495517730713,0.09077134728431702,-0.011272796429693699
1464190844483,0.25215670466423035,-0.2498142272233963,5.51475715637207,0.09095662832260132,-0.010995197109878063
1464190844483,0.2527802288532257,-0.25041693449020386,5.516445159912109,0.0911562591791153,-0.01075536198914051
1464190844483,0.2537105679512024,-0.251313179731369,5.516983509063721,0.09129466116428375,-0.010552105493843555
1464190844534,0.2545013725757599,-0.2520741820335388,5.51771879196167,0.09140945225954056,-0.010299796238541603
1464190844534,0.2555760145187378,-0.25310683250427246,5.518725395202637,0.09166841208934784,-0.010038538835942745
1464190844534,0.25660425424575806,-0.25409290194511414,5.518230438232422,0.09199229627847672,-0.01027375552803278
1464190844534,0.2581528127193451,-0.25557941198349,5.518362998962402,0.0924038216471672,-0.010264071635901928
1464190844541,0.2596365213394165,-0.2570032775402069,5.518379211425781,0.09282004833221436,-0.01039572898298502
1464190844549,0.260657399892807,-0.2579829692840576,5.517910480499268,0.09310808032751083,-0.010356542654335499
1464190844591,0.2619342505931854,-0.25920945405960083,5.517457485198975,0.09361502528190613,-0.010518504306674004
1464190844591,0.26292645931243896,-0.26016339659690857,5.517849445343018,0.09395760297775269,-0.0105108842253685
1464190844591,0.2640388607978821,-0.26123204827308655,5.5185346603393555,0.09436817467212677,-0.010206091217696667
1464190844591,0.2645115256309509,-0.26168549060821533,5.518844127655029,0.09471021592617035,-0.0105834836140275
1464190844591,0.26520413160324097,-0.26234954595565796,5.520797252655029,0.09490014612674713,-0.010355629026889801
1464190844591,0.26557478308677673,-0.2627035081386566,5.52122688293457,0.09502270072698593,-0.010473327711224556
1464190844643,0.2660713493824005,-0.2631773352622986,5.522021293640137,0.09503314644098282,-0.01008901558816433
1464190844643,0.2672302722930908,-0.26428139209747314,5.52269172668457,0.09526368230581284,-0.009836927056312561
1464190844643,0.2682397961616516,-0.2652418613433838,5.522807598114014,0.09545928984880447,-0.009736587293446064
1464190844643,0.26981768012046814,-0.26674267649650574,5.5235490798950195,0.09590430557727814,-0.009666450321674347
1464190844688,0.2724767029285431,-0.26926809549331665,5.522578716278076,0.09665360301733017,-0.010053574107587337
1464190844688,0.27329540252685547,-0.2700471878051758,5.523985862731934,0.09681888669729233,-0.009635296650230885
1464190844725,0.2740272283554077,-0.27074164152145386,5.523895263671875,0.09697967022657394,-0.009447174146771431
1464190844725,0.27487146854400635,-0.27154290676116943,5.522632598876953,0.0972374826669693,-0.009406819939613342
1464190844725,0.2737477719783783,-0.2704737186431885,5.524880409240723,0.09622810781002045,-0.008714104071259499
1464190844774,0.2744787037372589,-0.2711660861968994,5.525619029998779,0.09656430035829544,-0.00838891789317131
1464190844774,0.27557051181793213,-0.27219873666763306,5.525378227233887,0.0967743843793869,-0.008245540782809258
